,Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,brand_model_key
71,Skoda ,Enyaq iV 80X,7.0,160,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,C,5,45000,Skoda Enyaq iV 80X
72,Porsche ,Taycan Cross Turismo ,3.5,250,385,217,770.0,Yes,AWD,Type 2 CCS,Station,F,4,150000,Porsche Taycan Cross Turismo 
73,Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,460.0,Yes,AWD,Type 2 CCS,SUV,E,5,64000,Byton M-Byte 95 kWh 4WD
74,Sono ,Sion ,9.0,140,225,156,270.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,25500,Sono Sion 
75,Kia ,e-Niro 39 kWh,9.8,155,235,167,230.0,Yes,FWD,Type 2 CCS,SUV,C,5,34400,Kia e-Niro 39 kWh
76,Audi ,Q4 Sportback e-tron ,6.3,180,410,188,550.0,Yes,AWD,Type 2 CCS,SUV,D,5,57500,Audi Q4 Sportback e-tron 
77,Smart ,EQ forfour ,12.7,130,95,176,0.0,No,RWD,Type 2,Hatchback,A,4,22030,Smart EQ forfour 
78,Ford ,Mustang Mach-E SR AWD,6.0,180,340,206,360.0,Yes,AWD,Type 2 CCS,SUV,D,5,54000,Ford Mustang Mach-E SR AWD
79,Porsche ,Taycan Turbo,3.2,260,390,215,810.0,Yes,AWD,Type 2 CCS,Sedan,F,4,148301,Porsche Taycan Turbo
80,Volkswagen ,ID.3 1st,7.3,160,340,171,470.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,38987,Volkswagen ID.3 1st
81,Tesla ,Model X Performance,2.8,250,440,216,480.0,Yes,AWD,Type 2,SUV,F,7,102990,Tesla Model X Performance
82,Smart ,EQ fortwo coupe,11.6,130,100,167,0.0,No,RWD,Type 2,Hatchback,A,2,21387,Smart EQ fortwo coupe
83,Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380.0,Yes,RWD,Type 2 CCS,SUV,D,5,46900,Ford Mustang Mach-E SR RWD
84,Mercedes ,EQV 300 Long,10.0,140,330,273,290.0,Yes,FWD,Type 2 CCS,SPV,N,7,70631,Mercedes EQV 300 Long
85,Fiat ,500e Hatchback,9.0,150,250,168,330.0,Yes,FWD,Type 2 CCS,Hatchback,B,4,34900,Fiat 500e Hatchback
86,Tesla ,Cybertruck Single Motor,7.0,180,390,256,740.0,Yes,RWD,Type 2 CCS,Pickup,N,6,45000,Tesla Cybertruck Single Motor
87,Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470.0,Yes,AWD,Type 2 CCS,SUV,E,5,69551,Audi e-tron Sportback 50 quattro
88,Skoda ,Enyaq iV vRS,6.2,180,400,193,540.0,Yes,AWD,Type 2 CCS,SUV,C,5,47500,Skoda Enyaq iV vRS
89,Skoda ,Enyaq iV 60,9.0,160,320,181,440.0,Yes,RWD,Type 2 CCS,SUV,C,5,37500,Skoda Enyaq iV 60
90,Audi ,e-tron S 55 quattro,4.5,210,320,270,510.0,Yes,AWD,Type 2 CCS,SUV,E,5,93800,Audi e-tron S 55 quattro
91,Smart ,EQ fortwo cabrio,11.9,130,95,176,0.0,No,RWD,Type 2,Cabrio,A,2,24565,Smart EQ fortwo cabrio
92,Kia ,e-Soul 64 kWh,7.9,167,365,175,320.0,Yes,FWD,Type 2 CCS,SUV,B,5,36837,Kia e-Soul 64 kWh
93,Nissan ,Ariya e-4ORCE 87kWh,5.7,200,420,207,500.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,57500,Nissan Ariya e-4ORCE 87kWh
94,Fiat ,500e Convertible,9.0,150,250,168,330.0,Yes,FWD,Type 2 CCS,Cabrio,B,4,37900,Fiat 500e Convertible
95,Volkswagen ,ID.3 Pro Performance,7.3,160,340,171,470.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,35575,Volkswagen ID.3 Pro Performance
96,Kia ,e-Soul 39 kWh,9.9,157,230,170,220.0,Yes,FWD,Type 2 CCS,SUV,B,5,33133,Kia e-Soul 39 kWh
97,Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,420.0,Yes,RWD,Type 2 CCS,SUV,E,5,53500,Byton M-Byte 72 kWh 2WD
98,Nissan ,Ariya 63kWh,7.5,160,330,191,440.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,45000,Nissan Ariya 63kWh
99,Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,540.0,Yes,AWD,Type 2 CCS,SUV,E,5,96050,Audi e-tron S Sportback 55 quattro
100,Nissan ,Ariya e-4ORCE 63kWh,5.9,200,325,194,440.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,50000,Nissan Ariya e-4ORCE 63kWh
101,Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,200,375,232,450.0,Yes,AWD,Type 2 CCS,Hatchback,C,5,65000,Nissan Ariya e-4ORCE 87kWh Performance
102,Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,480.0,Yes,AWD,Type 2 CCS,SUV,E,5,62000,Byton M-Byte 95 kWh 2WD
